trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'e': 0.1482478672533446, 'a': 0.9}",20,0,32.44953775747946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'e': 0.13934143128561977, 'a': 0.9}",30,16,28.183493070499786,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'e': 0.13042370873814554, 'a': 0.9}",20,11,17.0742435414117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'e': 0.12149542194157227, 'a': 0.9}",20,2,-13.136572490365435,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'e': 0.11255729408224918, 'a': 0.9}",20,10,-26.335812653072928,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'e': 0.10361004914364617, 'a': 0.9}",20,13,13.005058491551498,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'e': 0.09465441184771117, 'a': 0.9}",25,20,10.0285395180765,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'e': 0.08569110759616845, 'a': 0.9}",25,10,25.842160737876608,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'e': 0.07672086241176215, 'a': 0.9}",20,1,28.630757780790557,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'e': 0.06774440287944729, 'a': 0.9}",25,20,10.041986762182617,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'e': 0.05876245608753834, 'a': 0.9}",20,13,13.197278455418017,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'e': 0.04977574956881504, 'a': 0.9}",20,3,25.59025894319825,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.040785011241591035, 'a': 0.9}",35,19,31.51433442129827,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'e': 0.0317909693507556, 'a': 0.9}",20,0,27.733036372667435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'e': 0.02279435240878465, 'a': 0.9}",30,23,14.89622663035979,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'e': 0.013795889136731142, 'a': 0.9}",25,10,24.66640255933087,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'e': 0.004796308405200884, 'a': 0.9}",20,13,14.271219859954249,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",25,12,25.039068519468042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,5,25.396319126186388,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",20,7,23.333295520327624,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,8,29.884356598768335,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",20,16,7.658658746596185,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",20,10,22.072779372463398,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,1,41.859511382154736,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",20,15,7.273898314286649,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,2,23.697554814312138,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,13,13.663783563528073,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
